Comment,Designator,Footprint,LCSC Part #
ADG1421,U3 U4 U5,MSOP-10,
CAPACITOR_0603_10V_0.1UF,C2,0603-CAP,
CAPACITOR_0603_10V_1UF,C4,0603-CAP,
CAPACITOR_0603_10V_4.7UF,C3 C5,0603-CAP,
CAPACITOR_0603_10V_10NF,C1,0603-CAP,
ICM-42605,U1,ICM-42605,
RESISTOR_0603_10K,R1 R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R13 R14 R15 R16 R17 R18,0603-RES,
VOLTAGE_REGULATOR_SOT-23-5_5V,U2,SOT-23-5,
